joint_name,a0,a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,b5,b6
lfemur_0_pos,-0.17680165,-0.43792636,-0.00564563,0.03275947,-0.00442609,-0.00310680,-0.00087518,-0.26340389,0.08479353,0.00936177,0.00608133,0.00821713,-0.00393448
lfemur_1_pos,-0.06037364,0.00908615,-0.01553580,-0.01253461,0.00497808,0.00105881,0.00094641,-0.02936807,-0.00649069,-0.01206614,-0.00376809,-0.00480782,-0.00193803
lfemur_2_pos,-0.40254741,0.13584210,0.01974988,0.00976116,0.00039247,-0.00242305,-0.00075376,-0.01344439,0.03788797,0.02791378,0.01301259,0.00318533,0.00141748
rfemur_0_pos,-0.17386580,0.44986746,0.02465701,-0.03849878,-0.01244443,-0.00623130,-0.00234559,0.24949797,0.11370985,0.02546703,0.01577089,0.00103315,-0.00152189
rfemur_1_pos,0.08522964,-0.00082646,-0.03906257,-0.00711043,-0.00043855,-0.00636038,0.00230055,0.02210717,-0.00499671,0.00686299,-0.01366417,0.01334513,-0.00301918
rfemur_2_pos,0.39179724,0.13835341,-0.00489725,0.00439820,-0.00732569,0.00198275,0.00003404,-0.02760249,-0.00521214,0.01467912,0.00330695,-0.00551554,0.00338504
ltibia_0_pos,0.71498815,0.30435542,-0.20062877,-0.08656205,0.00740177,0.00523067,0.00193366,-0.14189809,-0.27204212,-0.02827119,-0.04084637,-0.02052708,0.00078791
rtibia_0_pos,0.65263954,-0.23051891,-0.26475974,0.08187444,0.02599839,0.01154180,0.00909490,0.15811501,-0.23883389,-0.06180925,-0.04514281,-0.00924689,0.00561155
lfoot_0_pos,-0.14524974,0.07968776,-0.13100087,-0.02465087,0.02659367,-0.01061153,0.00117385,-0.17208299,0.01916146,0.06478951,-0.03871566,-0.02517114,-0.00393964
lfoot_1_pos,0.14562459,0.07874839,-0.03695635,-0.01963167,0.01669054,0.00704060,-0.00794181,-0.01725540,-0.04427026,0.04186032,0.02952064,-0.00662954,-0.00370984
rfoot_0_pos,-0.17450506,-0.00523098,-0.15355773,-0.00737697,0.02089763,0.01314540,-0.00308086,0.21606299,0.07259073,-0.03265121,-0.01940453,0.02688135,0.01448868
rfoot_1_pos,-0.17801675,0.10566995,0.03261406,-0.02272392,0.00342316,0.01447911,-0.00584557,0.05401225,0.02763687,0.00873288,-0.01934106,0.00288080,-0.00034395
